Day,Time,Capacity
Sun,02:30 PM,30 / 500
Sun,02:00 PM,50 / 500
Sun,01:30 PM,59 / 500
Sun,01:00 PM,54 / 500
Sun,12:30 PM,56 / 500
Sun,12:00 PM,0 / 500
Sun,11:30 AM,59 / 500
Sun,11:00 AM,69 / 500
Sun,10:30 AM,58 / 500
Sun,10:00 AM,47 / 500
Sun,09:30 AM,34 / 500
Sun,09:00 AM,34 / 500
Sun,08:30 AM,31 / 500
Sun,08:00 AM,28 / 500
Sun,07:30 AM,19 / 500
Sun,07:00 AM,0 / 500
Sat,12:00 PM,65 / 500
Sat,11:30 AM,92 / 500
Sat,11:00 AM,81 / 500
Sat,10:30 AM,0 / 500
Sun,06:30 PM,0 / 500
Sun,06:00 PM,16 / 500
Sun,05:30 PM,16 / 500
Sun,05:00 PM,18 / 500
Sun,04:30 PM,25 / 500
Sun,04:00 PM,17 / 500
Sun,03:30 PM,17 / 500
Sun,03:00 PM,17 / 500
Sun,02:30 PM,18 / 500
Sun,02:00 PM,40 / 500
Sun,01:30 PM,0 / 500
Sun,01:00 PM,68 / 500
Sun,12:30 PM,61 / 500
Sat,04:30 PM,33 / 500
Sat,04:00 PM,30 / 500
Sat,03:30 PM,36 / 500
Sat,03:00 PM,40 / 500
Sat,02:30 PM,37 / 500
Sat,02:00 PM,41 / 500
Sat,01:30 PM,58 / 500
Sat,01:00 PM,51 / 500
Sat,12:30 PM,61 / 500
Sat,12:00 PM,59 / 500
Sat,11:30 AM,59 / 500
Sat,11:00 AM,115 / 500
Sat,10:30 AM,112 / 500
Sat,10:00 AM,115 / 500
Sat,09:30 AM,98 / 500
Sat,09:00 AM,77 / 500
Sat,08:30 AM,67 / 500
Sat,08:00 AM,46 / 500
Sat,07:30 AM,22 / 500
Sat,07:00 AM,6 / 500
Wed,07:30 AM,47 / 500
Wed,07:00 AM,57 / 500
Wed,06:30 AM,48 / 500
Wed,06:00 AM,40 / 500
Wed,05:30 AM,26 / 500
Wed,05:00 AM,6 / 500
Sun,04:00 PM,17 / 500
Sun,03:30 PM,12 / 500
Sun,03:00 PM,22 / 500
Sun,02:30 PM,30 / 500
Sat,06:00 PM,6 / 500
Sat,05:30 PM,35 / 500
Sat,05:00 PM,46 / 500
Sat,04:30 PM,41 / 500
Sat,04:00 PM,46 / 500
Sat,03:30 PM,31 / 500
Sat,03:00 PM,38 / 500
Sat,02:30 PM,32 / 500
Sat,02:00 PM,52 / 500
