Day,Time,Capacity
Thu,07:30 AM,66
Thu,07:00 AM,55
Thu,06:30 AM,41
Thu,06:00 AM,33
Thu,05:30 AM,17
Thu,05:00 AM,4
Wed,07:30 AM,69
Wed,07:00 AM,48
Wed,06:30 AM,38
Wed,06:00 AM,24
Wed,05:30 AM,15
Wed,05:00 AM,4
Mon,07:30 AM,66
Mon,07:00 AM,53
Mon,06:30 AM,38
Mon,06:00 AM,31
Mon,05:30 AM,20
Mon,05:00 AM,5
Sun,06:30 PM,0
Sun,06:00 PM,10
Sun,05:30 PM,15
Sun,05:00 PM,16
Sun,04:30 PM,25
Sun,04:00 PM,27
Sun,03:30 PM,39
Sun,03:00 PM,32
Sun,02:30 PM,43
Sun,02:00 PM,36
Sun,01:30 PM,60
Sun,01:00 PM,50
Sun,12:30 PM,37
Sun,12:00 PM,50
Sun,11:30 AM,41
Sun,11:00 AM,49
Sun,10:30 AM,40
Sun,10:00 AM,0
Sun,09:30 AM,33
Sun,09:00 AM,23
Sun,08:30 AM,19
Sun,08:00 AM,17
Sun,07:30 AM,7
Sun,07:00 AM,2
Sat,06:30 PM,15
Sat,06:00 PM,16
Sat,05:30 PM,49
Sat,05:00 PM,53
Sat,04:30 PM,54
Sat,04:00 PM,50
Sat,03:30 PM,46
Sat,03:00 PM,32
Sat,02:30 PM,30
Sat,02:00 PM,27
Sat,01:30 PM,68
Sat,01:00 PM,61
Sat,12:30 PM,50
Sat,12:00 PM,44
Sat,11:30 AM,58
Sat,11:00 AM,58
Sat,10:30 AM,41
Sat,10:00 AM,86
Sat,09:30 AM,76
Sat,09:00 AM,52
Sat,08:30 AM,62
Sat,08:00 AM,42
Sat,07:30 AM,0
Sat,07:00 AM,6
Fri,07:30 AM,54
Fri,07:00 AM,46
Fri,06:30 AM,27
Fri,06:00 AM,20
Fri,05:30 AM,10
Fri,05:00 AM,4
Thu,07:30 AM,57
Thu,07:00 AM,46
Thu,06:30 AM,33
Thu,06:00 AM,24
Thu,05:30 AM,13
Thu,05:00 AM,4
